5:29:52 PM  [main] 	Initializing Control Panel
5:29:52 PM  [main] 	Windows Version:  Home  64-bit
5:29:52 PM  [main] 	XAMPP Version: 8.0.25
5:29:52 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
5:29:52 PM  [main] 	You are not running with administrator rights! This will work for
5:29:52 PM  [main] 	most application stuff but whenever you do something with services
5:29:52 PM  [main] 	there will be a security dialogue or things will break! So think 
5:29:52 PM  [main] 	about running this application with administrator rights!
5:29:52 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
5:29:52 PM  [main] 	Checking for prerequisites
5:29:53 PM  [main] 	All prerequisites found
5:29:53 PM  [main] 	Initializing Modules
5:29:53 PM  [main] 	Starting Check-Timer
5:29:53 PM  [main] 	Control Panel Ready
5:29:56 PM  [Apache] 	Attempting to start Apache app...
5:29:56 PM  [Apache] 	Status change detected: running
5:29:56 PM  [mysql] 	Attempting to start MySQL app...
5:29:57 PM  [mysql] 	Status change detected: running
1:04:10 AM  [mysql] 	Status change detected: stopped
1:04:10 AM  [mysql] 	Error: MySQL shutdown unexpectedly.
1:04:10 AM  [mysql] 	This may be due to a blocked port, missing dependencies, 
1:04:10 AM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
1:04:10 AM  [mysql] 	Press the Logs button to view error logs and check
1:04:10 AM  [mysql] 	the Windows Event Viewer for more clues
1:04:10 AM  [mysql] 	If you need more help, copy and post this
1:04:10 AM  [mysql] 	entire log window on the forums
1:04:10 AM  [main] 	Deinitializing Modules
1:04:10 AM  [main] 	Deinitializing Control Panel

